longitud,latitud
-72.049319,-45.920961
-72.444123,-46.029488
-72.409179,-45.947695
-72.357197,-45.955504
-72.35291,-46.045412
-72.298425,-45.837118
-72.28862,-45.77388
-72.265641,-45.980351
-72.265198,-45.989341
-72.226957,-45.979418
-72.604224,-42.563735
-70.463728,-33.795999
-70.463881,-33.805015
-70.464188,-33.823048
-70.464496,-33.84108
-70.46465,-33.850096
-70.453996,-33.859241
-70.441978,-33.787237
-70.442886,-33.841335
-70.443189,-33.859368
-70.431329,-33.796379
-70.43193,-33.832445
-70.432081,-33.841461
-70.420679,-33.805521
-70.420828,-33.814537
-70.421126,-33.83257
-70.410322,-33.832694
-70.41047,-33.84171
-70.397613,-33.715602
-70.398051,-33.742652
-71.555038,-36.733473
-71.55004,-36.751605
-71.544296,-36.747222
-71.538403,-36.738335
-71.532957,-36.742957
-71.511016,-36.756941
-71.499385,-36.743668
-71.499823,-36.757177
-71.499969,-36.76168
-71.608659,-38.41649
-71.546669,-38.444885
-72.036257,-39.868702
-73.494433,-39.996888
-73.470811,-40.005587
-72.441632,-46.083436
-72.383825,-45.938116
-70.431179,-33.787363
-70.432231,-33.850477
-70.42053,-33.796504
-70.421275,-33.841586
-70.409139,-33.760562
-71.521471,-36.734189
-71.494081,-36.752791
-71.603099,-38.421119
-71.545878,-38.422377
-72.080292,-39.932875
-72.067835,-39.950576
-72.046775,-39.895994
-71.987579,-39.912486
-71.239881,-37.156657
-71.226515,-37.08481
-71.227042,-37.102825
-71.227834,-37.129847
-71.206382,-37.166298
-71.18439,-37.184731
-72.103178,-45.877336
-70.494872,-33.723481
-70.484237,-33.732627
-70.473292,-33.72374
-70.473755,-33.750789
-70.462349,-33.714852
-70.451863,-33.733012
-70.441524,-33.760188
-70.441675,-33.769204
-70.41934,-33.724372
-71.50498,-36.74355
-71.505566,-36.761562
-72.06745,-39.959574
-71.215797,-37.103036
-71.204551,-37.103245
-71.317553,-37.119114
-71.305486,-37.092313
-70.658942,-26.201342
-70.484082,-33.723611
-70.484548,-33.75066
-70.462502,-33.723869
-70.453844,-33.850224
-70.430729,-33.760314
-70.43028,-33.733264
-70.420977,-33.823553
-71.216584,-37.130058
-71.327421,-37.073859
-71.317278,-37.110107
-71.304122,-37.047278
-71.132613,-32.994977
-71.126832,-32.97704
-71.121377,-32.972624
-71.121593,-32.981638
-71.122132,-33.004174
-71.116676,-32.999757
-71.110897,-32.981819
-71.11122,-32.995341
-71.111434,-33.004355
-71.105871,-32.995431
-71.106085,-33.004445
-71.1063,-33.01346
-71.094748,-32.977583
-71.095174,-32.995611
-71.089932,-33.000208
-71.062872,-32.987131
-70.626177,-26.003112
-70.62655,-26.03019
-70.484859,-33.768692
-70.419043,-33.706339
-72.151545,-39.907625
-72.139861,-39.907337
-72.139486,-39.916336
-72.128552,-39.898049
-72.116869,-39.897759
-72.09198,-39.933169
-72.079909,-39.941873
-71.110683,-32.972805
-71.105443,-32.977403
-68.910964,-19.074482
-68.777635,-19.264157
-69.253898,-19.553306
-69.215384,-19.264165
-69.215741,-19.535282
-69.206209,-19.535293
-72.127424,-39.925045
-72.12667,-39.943042
-69.714075,-20.414383
-69.675855,-20.441643
-69.627961,-20.450858
-69.618411,-20.459928
-69.599412,-20.505174
-69.599623,-20.559388
-69.863847,-19.763127
-69.854351,-19.772209
-69.743001,-20.450405
-71.68921,-30.708715
-71.68362,-30.695303
-71.673189,-30.695518
-71.655693,-30.628235
-71.656679,-30.66429
-71.657049,-30.677811
-71.641406,-30.678131
-71.642266,-30.70968
-71.625275,-30.66042
-71.619332,-30.633482
-71.619696,-30.647003
-71.614241,-30.638094
-71.104267,-32.927824
-71.09871,-32.918899
-71.099136,-32.936928
-71.093578,-32.928003
-71.088446,-32.937107
-71.088658,-32.946122
-71.083524,-32.955225
-71.077545,-32.928271
-71.073252,-32.973432
-71.067065,-32.937463
-71.06738,-32.950985
-71.056375,-32.937639
-71.051863,-32.973786
-71.082139,-53.148927
-69.685282,-20.405463
-69.6474,-20.514037
-69.863896,-19.772163
-71.702848,-30.636281
-71.698387,-30.663431
-71.698513,-30.667937
-71.688335,-30.677167
-71.688835,-30.695195
-71.672941,-30.686504
-71.656432,-30.655276
-71.650604,-30.632848
-71.651712,-30.673411
-71.645883,-30.650982
-71.646129,-30.659996
-71.642389,-30.714187
-71.624544,-30.633377
-71.619575,-30.642496
-71.61994,-30.656018
-71.094322,-32.959554
-71.089294,-32.973165
-71.078705,-32.977851
-71.068115,-32.982536
-71.056897,-32.960176
-71.057106,-32.96919
-71.046724,-32.982888
-69.685242,-20.396428
-69.629371,-20.794207
-69.570507,-20.469128
-71.688585,-30.686181
-71.06759,-32.959999
-71.04148,-32.987483
-69.110748,-19.32752
-69.129788,-19.327507
-71.070444,-53.154525
-69.695517,-20.549994
-69.64851,-20.776065
-69.618737,-20.541249
-69.60893,-20.487069
-69.599658,-20.568424
-71.052072,-32.9828
-69.034601,-19.390812
-68.977477,-19.26429
-68.929899,-19.255241
-69.120241,-19.291364
-72.446608,-45.97554
-72.444123,-46.029488
-72.383825,-45.938116
-72.35291,-46.045412
-72.265641,-45.980351
-72.226957,-45.979418
-70.475456,-33.849968
-70.463881,-33.805015
-70.464035,-33.814032
-70.464342,-33.832064
-70.443189,-33.859368
-70.431179,-33.787363
-70.431329,-33.796379
-70.432231,-33.850477
-70.42053,-33.796504
-70.420679,-33.805521
-70.420828,-33.814537
-70.421275,-33.841586
-70.410322,-33.832694
-71.320532,-53.381321
-71.628772,-38.339454
-71.630402,-38.384469
-71.603099,-38.421119
-71.585772,-38.416998
-71.551917,-38.431256
-71.546352,-38.435882
